OBJECTID,NAME,ALTNAME,BLOCK,Location_n,Fromstreet,ToStreet,TOTALANES,DIRECT1,SIDEWLK1,WIDTH_C_C,WIDTHAPPRO,ROW_WIDTH,StateRte,FCLASS2014,STATERESP,OWNERSHIP,lengthinv,SURFACETXT,SHOULDTEXT,RESPONSEROUTE,OWNTYPE,MGTRESPONB,STATEROUTEYN,DeedyrBkPg,SID,RINNUM,SHAPE__Length
714,MITCHELL ST,NYS STATE ROUTE 366,300,300 Blk Mitchell St.,DELAWARE AVE,LINDEN AVE,2,Two-way,Sidewalks adjacent to both sides of the street,30,30,49.5,YES,Minor Arterial, ,CITY ST,203.552973716892,Surface Treated,,FIRE,CITYST,NYSRteCityPaves,YES,"1)1926, 2)1928, 3)1930 BKPG 1)211-181, 2)213-569, 3)220-450",2,895,83.9545761031787
715,MITCHELL ST, ,500,500 Blk Mitchell St.,CORNELL ST,ELMWOOD AVE,2,Two-way,Sidewalks adjacent to both sides of the street,26.1,26.1,49.5,NO,Collector,NONE,CITY ST,318.825221978697,Surface Treated,"Curbed, Granite",NO,CITYST,CITY-ALL,NO,"1)1926, 2)1928, 3)1930 BKPG 1)211-181, 2)213-569, 3)220-450",2,896,131.484447355505
717,ITHACA RD,NYS STATE ROUTE 366,200,200 Blk Ithaca Rd.,BRYANT AVE,ELMWOOD AVE,2,Two-way,Sidewalks adjacent to both sides of the street,30,30,66,YES,Minor Arterial, ,CITY ST,362.895239652348,Surface Treated,"Curbed, Concrete",FIRE,CITYST,NYSRteCityPaves,YES,1912 BKPG 178-530,2,900,149.800010378718
718,DRYDEN RD, ,200,200 Blk Dryden Rd.,COLLEGE AVE,LINDEN AVE,2,Two-way,Sidewalks adjacent to both sides of the street,32.3,32.3,50,NO,Minor Arterial,NONE,CITY ST,277.591968354459,Asphalt,,FIRE,CITYST,CITY-ALL,NO,Unknown,2,902,114.485946433806
719,DRYDEN RD, ,300,300 Blk Dryden Rd.,ELMWOOD AVE,BRYANT AVE,2,Two-way,Sidewalks adjacent to both sides of the street,26,26,50,NO,Minor Arterial,NONE,CITY ST,467.94662005454,Asphalt,"Curbed, Concrete",FIRE,CITYST,CITY-ALL,NO,Unknown,2,904,193.061212477645
720,DRYDEN RD, ,400-500,400-500 Blk Dryden Rd.,FAIRMOUNT AVE,ELMWOOD AVE,2,Two-way,Sidewalks adjacent to both sides of the street,28,28,50,NO,Minor Arterial,NONE,CITY ST,436.786529359716,Asphalt,"Curbed, Concrete",FIRE,CITYST,CITY-ALL,NO,Unknown,2,905,180.15203341735
721,COLLEGE AVE, ,200,200 Blk College Ave.,COOK ST,CATHERINE ST,2,Two-way,Sidewalks adjacent to both sides of the street,34,34,50,NO,Minor Arterial,NONE,CITY ST,248.895834199989,Asphalt,"Curbed, Concrete",FIRE,CITYST,CITY-ALL,NO,1899 BKPG 153-177,2,907,103.02427280705
722,COLLEGE AVE, ,100,100 Blk College Ave.,MITCHELL ST,COOK ST,2,Two-way,Sidewalks adjacent to both sides of the street,34,34,50,NO,Minor Arterial,NONE,CITY ST,727.416870350085,Asphalt,"Curbed, Concrete",FIRE,CITYST,CITY-ALL,NO,1899 BKPG 153-177,2,908,301.088389219817
723,EDDY ST, ,200,200 Blk Eddy St.,COOK ST,E SENECA ST,2,Two-way,Sidewalks adjacent to both sides of the street,36,36,66,NO,Collector,NONE,CITY ST,436.827902304769,Asphalt,"Curbed, Concrete",FIRE,CITYST,CITY-ALL,NO,1887 (Dewitt) BKPG 131-117,2,911,180.814698323847
724,E BUFFALO ST, ,600,600 Blk E Buffalo St.,N QUARRY ST,STEWART AVE,2,Two-way,Sidewalks adjacent to both sides of the street,24,24,66,NO,Minor Arterial,NONE,CITY ST,314.506883711415,Asphalt,"Curbed, Granite",FIRE,CITYST,CITY-ALL,NO,1887 (Dewitt) BKPG 131-117,2,914,129.710638323771
745,STEWART AVE, ,500,500 Blk Stewart Ave.,BRIDGE,CAMPUS RD,2,Two-way,Sidewalks adjacent to both sides of the street,30,30,49.5,NO,Collector,NONE,CITY ST,486.864941827039,Asphalt,,FIRE,CITYST,CITY-ALL,NO,"1887, 1988, 1988 BKPG 131-117, 132-338,",1,939,201.528470111487
746,STEWART AVE, ,400,400 Blk Stewart Ave.,WILLIAMS ST,CASCADILLA CREEK BRIDGE,2,Two-way,Sidewalks adjacent to both sides of the street,38,38,49.5,NO,Collector,NONE,CITY ST,316.551905953475,"Brick, Block",,FIRE,CITYST,CITY-ALL,NO,"1887, 1988, 1988 BKPG 131-117, 132-338,",2,941,131.009613270815
747,STEWART AVE, ,300,300 Blk Stewart Ave.,E BUFFALO ST,WILLIAMS ST,2,Two-way,Sidewalks adjacent to both sides of the street,32,32,49.5,NO,Collector,NONE,CITY ST,253.661835653737,"Brick, Block","Curbed, Granite",FIRE,CITYST,CITY-ALL,NO,1887 BKPG 131-117,2,942,104.999878747863
